=== 规则书解析 token 消耗汇总 2026-08-04T09:16:41.585Z ===

第1轮  输入 3172 | 输出 136 | 思考 80 | 合计 3308
第421轮  输入 6448 | 输出 370 | 思考 232 | 合计 6818
第422轮  输入 4807 | 输出 512 | 思考 432 | 合计 5319
第423轮  输入 6306 | 输出 468 | 思考 404 | 合计 6774
第424轮  输入 7611 | 输出 979 | 思考 863 | 合计 8590
第425轮  输入 9263 | 输出 565 | 思考 462 | 合计 9828
第426轮  输入 7485 | 输出 134 | 思考 59 | 合计 7619
第427轮  输入 8110 | 输出 280 | 思考 128 | 合计 8390
第428轮  输入 6125 | 输出 402 | 思考 270 | 合计 6527
第429轮  输入 7894 | 输出 191 | 思考 123 | 合计 8085
第430轮  输入 7489 | 输出 104 | 思考 42 | 合计 7593
第431轮  输入 6180 | 输出 290 | 思考 192 | 合计 6470
第432轮  输入 4522 | 输出 71 | 思考 11 | 合计 4593
第433轮  输入 4956 | 输出 255 | 思考 105 | 合计 5211
第434轮  输入 4367 | 输出 99 | 思考 40 | 合计 4466
第435轮  输入 4969 | 输出 226 | 思考 145 | 合计 5195
第436轮  输入 4460 | 输出 87 | 思考 27 | 合计 4547
第437轮  输入 4910 | 输出 278 | 思考 199 | 合计 5188
第438轮  输入 4643 | 输出 267 | 思考 171 | 合计 4910
第439轮  输入 4301 | 输出 85 | 思考 57 | 合计 4386
第440轮  输入 4861 | 输出 464 | 思考 338 | 合计 5325
第441轮  输入 4703 | 输出 54 | 思考 10 | 合计 4757
第442轮  输入 4835 | 输出 75 | 思考 28 | 合计 4910
第443轮  输入 4370 | 输出 110 | 思考 36 | 合计 4480
第444轮  输入 4445 | 输出 229 | 思考 160 | 合计 4674
第445轮  输入 4704 | 输出 275 | 思考 50 | 合计 4979
第446轮  输入 4778 | 输出 51 | 思考 0 | 合计 4829
第447轮  输入 5685 | 输出 250 | 思考 75 | 合计 5935
第448轮  输入 5081 | 输出 52 | 思考 0 | 合计 5133
第449轮  输入 5907 | 输出 369 | 思考 226 | 合计 6276
第450轮  输入 4873 | 输出 176 | 思考 132 | 合计 5049
第451轮  输入 5069 | 输出 55 | 思考 27 | 合计 5124
第452轮  输入 4336 | 输出 60 | 思考 0 | 合计 4396
第453轮  输入 4023 | 输出 158 | 思考 32 | 合计 4181
第454轮  输入 3975 | 输出 79 | 思考 21 | 合计 4054
第455轮  输入 4852 | 输出 109 | 思考 81 | 合计 4961
第456轮  输入 5298 | 输出 210 | 思考 92 | 合计 5508
第457轮  输入 5317 | 输出 79 | 思考 0 | 合计 5396
第458轮  输入 3971 | 输出 75 | 思考 19 | 合计 4046
第459轮  输入 4555 | 输出 123 | 思考 45 | 合计 4678
第460轮  输入 4351 | 输出 49 | 思考 0 | 合计 4400
第461轮  输入 4428 | 输出 125 | 思考 44 | 合计 4553
第462轮  输入 4005 | 输出 84 | 思考 56 | 合计 4089
第463轮  输入 4393 | 输出 249 | 思考 173 | 合计 4642
第464轮  输入 4610 | 输出 773 | 思考 648 | 合计 5383
第465轮  输入 6217 | 输出 590 | 思考 495 | 合计 6807
第466轮  输入 7564 | 输出 599 | 思考 442 | 合计 8163
第467轮  输入 7423 | 输出 1173 | 思考 983 | 合计 8596
第468轮  输入 9287 | 输出 1346 | 思考 795 | 合计 10633
第469轮  输入 6528 | 输出 454 | 思考 315 | 合计 6982
第470轮  输入 7673 | 输出 927 | 思考 416 | 合计 8600
第471轮  输入 5024 | 输出 377 | 思考 75 | 合计 5401
第472轮  输入 5623 | 输出 189 | 思考 70 | 合计 5812
第473轮  输入 6013 | 输出 439 | 思考 92 | 合计 6452
第474轮  输入 4444 | 输出 139 | 思考 30 | 合计 4583
第475轮  输入 5171 | 输出 182 | 思考 65 | 合计 5353
第476轮  输入 6238 | 输出 219 | 思考 70 | 合计 6457
第477轮  输入 8828 | 输出 202 | 思考 85 | 合计 9030
第478轮  输入 6618 | 输出 49 | 思考 21 | 合计 6667
第479轮  输入 7142 | 输出 432 | 思考 298 | 合计 7574
第480轮  输入 6294 | 输出 116 | 思考 35 | 合计 6410
第481轮  输入 5646 | 输出 61 | 思考 19 | 合计 5707
第482轮  输入 6216 | 输出 264 | 思考 158 | 合计 6480
第483轮  输入 4750 | 输出 202 | 思考 105 | 合计 4952
第484轮  输入 4484 | 输出 269 | 思考 158 | 合计 4753
第485轮  输入 4356 | 输出 211 | 思考 169 | 合计 4567
第486轮  输入 4605 | 输出 116 | 思考 41 | 合计 4721
第487轮  输入 4498 | 输出 159 | 思考 131 | 合计 4657
第488轮  输入 4832 | 输出 307 | 思考 226 | 合计 5139
第489轮  输入 4939 | 输出 324 | 思考 252 | 合计 5263
第490轮  输入 4499 | 输出 328 | 思考 218 | 合计 4827
第491轮  输入 4773 | 输出 175 | 思考 82 | 合计 4948
第492轮  输入 4605 | 输出 275 | 思考 219 | 合计 4880
第493轮  输入 4759 | 输出 540 | 思考 373 | 合计 5299
第494轮  输入 5203 | 输出 1174 | 思考 1020 | 合计 6377
第495轮  输入 5821 | 输出 236 | 思考 119 | 合计 6057
第496轮  输入 5439 | 输出 163 | 思考 135 | 合计 5602
第497轮  输入 6077 | 输出 543 | 思考 419 | 合计 6620
第498轮  输入 6148 | 输出 802 | 思考 669 | 合计 6950
第499轮  输入 8703 | 输出 800 | 思考 718 | 合计 9503
第500轮  输入 9676 | 输出 380 | 思考 190 | 合计 10056
第501轮  输入 5956 | 输出 639 | 思考 352 | 合计 6595
第502轮  输入 4688 | 输出 229 | 思考 37 | 合计 4917
第503轮  输入 5234 | 输出 395 | 思考 112 | 合计 5629
第504轮  输入 5683 | 输出 357 | 思考 188 | 合计 6040
第505轮  输入 6161 | 输出 246 | 思考 82 | 合计 6407
第506轮  输入 4727 | 输出 238 | 思考 94 | 合计 4965
第507轮  输入 4622 | 输出 158 | 思考 118 | 合计 4780
第508轮  输入 4811 | 输出 359 | 思考 265 | 合计 5170
第509轮  输入 5224 | 输出 148 | 思考 55 | 合计 5372
第510轮  输入 4482 | 输出 104 | 思考 30 | 合计 4586
第511轮  输入 5095 | 输出 155 | 思考 32 | 合计 5250
第512轮  输入 4892 | 输出 112 | 思考 32 | 合计 5004
第513轮  输入 4206 | 输出 162 | 思考 87 | 合计 4368
第514轮  输入 4404 | 输出 121 | 思考 51 | 合计 4525
第515轮  输入 4369 | 输出 131 | 思考 26 | 合计 4500
第516轮  输入 4355 | 输出 49 | 思考 0 | 合计 4404
第517轮  输入 5538 | 输出 337 | 思考 104 | 合计 5875
第518轮  输入 5997 | 输出 188 | 思考 139 | 合计 6185
第519轮  输入 6269 | 输出 237 | 思考 122 | 合计 6506
第520轮  输入 5296 | 输出 205 | 思考 58 | 合计 5501
第521轮  输入 4694 | 输出 50 | 思考 0 | 合计 4744
第522轮  输入 6319 | 输出 280 | 思考 165 | 合计 6599
第523轮  输入 6258 | 输出 275 | 思考 177 | 合计 6533
第524轮  输入 4844 | 输出 143 | 思考 22 | 合计 4987
第525轮  输入 5040 | 输出 115 | 思考 33 | 合计 5155
第526轮  输入 4174 | 输出 211 | 思考 153 | 合计 4385
第527轮  输入 5126 | 输出 760 | 思考 659 | 合计 5886
第528轮  输入 6405 | 输出 223 | 思考 123 | 合计 6628
第529轮  输入 7892 | 输出 819 | 思考 565 | 合计 8711
第530轮  输入 4852 | 输出 85 | 思考 45 | 合计 4937
第531轮  输入 5412 | 输出 837 | 思考 646 | 合计 6249
第532轮  输入 6321 | 输出 647 | 思考 412 | 合计 6968
第533轮  输入 6578 | 输出 442 | 思考 45 | 合计 7020
第534轮  输入 4655 | 输出 121 | 思考 27 | 合计 4776
第535轮  输入 6062 | 输出 121 | 思考 42 | 合计 6183
第536轮  输入 6733 | 输出 503 | 思考 21 | 合计 7236
第537轮  输入 4818 | 输出 215 | 思考 46 | 合计 5033
第538轮  输入 7604 | 输出 645 | 思考 86 | 合计 8249
第539轮  输入 5086 | 输出 200 | 思考 27 | 合计 5286
第540轮  输入 5955 | 输出 601 | 思考 113 | 合计 6556
第541轮  输入 5018 | 输出 109 | 思考 31 | 合计 5127
第542轮  输入 5618 | 输出 170 | 思考 73 | 合计 5788
第543轮  输入 4943 | 输出 125 | 思考 83 | 合计 5068
第544轮  输入 5106 | 输出 75 | 思考 0 | 合计 5181
第545轮  输入 4642 | 输出 101 | 思考 73 | 合计 4743
第546轮  输入 4914 | 输出 403 | 思考 316 | 合计 5317
第547轮  输入 5332 | 输出 68 | 思考 0 | 合计 5400
第548轮  输入 5130 | 输出 78 | 思考 0 | 合计 5208
第549轮  输入 5244 | 输出 77 | 思考 17 | 合计 5321
第550轮  输入 4824 | 输出 211 | 思考 107 | 合计 5035
第551轮  输入 4992 | 输出 134 | 思考 57 | 合计 5126
第552轮  输入 4474 | 输出 106 | 思考 62 | 合计 4580
第553轮  输入 5393 | 输出 354 | 思考 326 | 合计 5747
第554轮  输入 5957 | 输出 588 | 思考 490 | 合计 6545
第555轮  输入 6433 | 输出 108 | 思考 17 | 合计 6541
第556轮  输入 4983 | 输出 123 | 思考 95 | 合计 5106
第557轮  输入 5581 | 输出 382 | 思考 268 | 合计 5963
第558轮  输入 6915 | 输出 400 | 思考 300 | 合计 7315
第559轮  输入 7032 | 输出 276 | 思考 146 | 合计 7308
第560轮  输入 7353 | 输出 683 | 思考 400 | 合计 8036
第561轮  输入 4966 | 输出 112 | 思考 68 | 合计 5078
第562轮  输入 5553 | 输出 334 | 思考 226 | 合计 5887
第563轮  输入 5999 | 输出 420 | 思考 219 | 合计 6419
第564轮  输入 5012 | 输出 187 | 思考 92 | 合计 5199
第565轮  输入 4797 | 输出 289 | 思考 160 | 合计 5086
第566轮  输入 4666 | 输出 725 | 思考 655 | 合计 5391
第567轮  输入 5459 | 输出 174 | 思考 106 | 合计 5633
第568轮  输入 5432 | 输出 409 | 思考 227 | 合计 5841
第569轮  输入 5495 | 输出 51 | 思考 0 | 合计 5546
第570轮  输入 6370 | 输出 141 | 思考 69 | 合计 6511
第571轮  输入 6017 | 输出 402 | 思考 182 | 合计 6419
第572轮  输入 6444 | 输出 50 | 思考 0 | 合计 6494
第573轮  输入 6598 | 输出 146 | 思考 44 | 合计 6744
第574轮  输入 6143 | 输出 192 | 思考 0 | 合计 6335
第575轮  输入 6361 | 输出 51 | 思考 0 | 合计 6412
第576轮  输入 5277 | 输出 284 | 思考 225 | 合计 5561
第577轮  输入 5875 | 输出 280 | 思考 165 | 合计 6155
第578轮  输入 5401 | 输出 198 | 思考 101 | 合计 5599
第579轮  输入 5646 | 输出 561 | 思考 422 | 合计 6207
第580轮  输入 7271 | 输出 269 | 思考 178 | 合计 7540
第581轮  输入 8257 | 输出 733 | 思考 506 | 合计 8990
第582轮  输入 5948 | 输出 1079 | 思考 917 | 合计 7027
第583轮  输入 7169 | 输出 629 | 思考 494 | 合计 7798
第584轮  输入 7764 | 输出 529 | 思考 337 | 合计 8293
第585轮  输入 8544 | 输出 827 | 思考 691 | 合计 9371
第586轮  输入 5744 | 输出 161 | 思考 68 | 合计 5905
第587轮  输入 5999 | 输出 189 | 思考 98 | 合计 6188
第588轮  输入 6049 | 输出 87 | 思考 43 | 合计 6136
第589轮  输入 5525 | 输出 542 | 思考 381 | 合计 6067
第590轮  输入 5313 | 输出 417 | 思考 91 | 合计 5730
第591轮  输入 4706 | 输出 192 | 思考 83 | 合计 4898
第592轮  输入 5530 | 输出 504 | 思考 476 | 合计 6034
第593轮  输入 6509 | 输出 517 | 思考 331 | 合计 7026
第594轮  输入 5710 | 输出 80 | 思考 19 | 合计 5790
第595轮  输入 6281 | 输出 134 | 思考 59 | 合计 6415
第596轮  输入 4875 | 输出 153 | 思考 29 | 合计 5028
第597轮  输入 6282 | 输出 304 | 思考 233 | 合计 6586
第598轮  输入 6091 | 输出 255 | 思考 143 | 合计 6346
第599轮  输入 7228 | 输出 211 | 思考 118 | 合计 7439
第600轮  输入 7492 | 输出 239 | 思考 40 | 合计 7731
第601轮  输入 5970 | 输出 51 | 思考 0 | 合计 6021
第602轮  输入 7767 | 输出 217 | 思考 189 | 合计 7984
第603轮  输入 6870 | 输出 324 | 思考 232 | 合计 7194
第604轮  输入 7253 | 输出 91 | 思考 14 | 合计 7344
第605轮  输入 4639 | 输出 175 | 思考 44 | 合计 4814
第606轮  输入 4979 | 输出 172 | 思考 83 | 合计 5151
第607轮  输入 5062 | 输出 144 | 思考 67 | 合计 5206
第608轮  输入 4519 | 输出 112 | 思考 84 | 合计 4631
第609轮  输入 5106 | 输出 368 | 思考 293 | 合计 5474
第610轮  输入 5549 | 输出 361 | 思考 258 | 合计 5910
第611轮  输入 5196 | 输出 136 | 思考 108 | 合计 5332
第612轮  输入 5807 | 输出 563 | 思考 413 | 合计 6370
第613轮  输入 6849 | 输出 548 | 思考 461 | 合计 7397
第614轮  输入 6998 | 输出 369 | 思考 222 | 合计 7367
第615轮  输入 8441 | 输出 416 | 思考 323 | 合计 8857
第616轮  输入 7303 | 输出 739 | 思考 585 | 合计 8042
第617轮  输入 8850 | 输出 829 | 思考 416 | 合计 9679
第618轮  输入 5295 | 输出 131 | 思考 25 | 合计 5426
第619轮  输入 6834 | 输出 378 | 思考 127 | 合计 7212
第620轮  输入 4734 | 输出 50 | 思考 18 | 合计 4784
第621轮  输入 5259 | 输出 260 | 思考 184 | 合计 5519
第622轮  输入 5810 | 输出 96 | 思考 18 | 合计 5906
第623轮  输入 4848 | 输出 56 | 思考 12 | 合计 4904
第624轮  输入 5734 | 输出 128 | 思考 65 | 合计 5862
第625轮  输入 5810 | 输出 126 | 思考 29 | 合计 5936
第626轮  输入 4978 | 输出 109 | 思考 20 | 合计 5087
第627轮  输入 5162 | 输出 67 | 思考 0 | 合计 5229
第628轮  输入 4630 | 输出 309 | 思考 281 | 合计 4939
第629轮  输入 5231 | 输出 387 | 思考 281 | 合计 5618
第630轮  输入 7041 | 输出 610 | 思考 530 | 合计 7651
第631轮  输入 6861 | 输出 135 | 思考 56 | 合计 6996
第632轮  输入 7134 | 输出 125 | 思考 66 | 合计 7259
第633轮  输入 5069 | 输出 160 | 思考 81 | 合计 5229
第634轮  输入 5286 | 输出 127 | 思考 50 | 合计 5413
第635轮  输入 4606 | 输出 104 | 思考 44 | 合计 4710
第636轮  输入 5201 | 输出 101 | 思考 40 | 合计 5302
第637轮  输入 5102 | 输出 54 | 思考 12 | 合计 5156
第638轮  输入 4973 | 输出 75 | 思考 0 | 合计 5048
第639轮  输入 4514 | 输出 44 | 思考 16 | 合计 4558
第640轮  输入 5033 | 输出 177 | 思考 98 | 合计 5210
第641轮  输入 5057 | 输出 91 | 思考 0 | 合计 5148
第642轮  输入 4587 | 输出 91 | 思考 35 | 合计 4678
第643轮  输入 5187 | 输出 84 | 思考 39 | 合计 5271
第644轮  输入 5069 | 输出 150 | 思考 29 | 合计 5219
第645轮  输入 5087 | 输出 118 | 思考 37 | 合计 5205
第646轮  输入 4525 | 输出 87 | 思考 31 | 合计 4612
第647轮  输入 5121 | 输出 162 | 思考 114 | 合计 5283
第648轮  输入 6153 | 输出 315 | 思考 183 | 合计 6468
第649轮  输入 6629 | 输出 119 | 思考 28 | 合计 6748
第650轮  输入 6172 | 输出 75 | 思考 0 | 合计 6247
第651轮  输入 6461 | 输出 64 | 思考 0 | 合计 6525
第652轮  输入 4674 | 输出 163 | 思考 16 | 合计 4837
第653轮  输入 4862 | 输出 50 | 思考 0 | 合计 4912
第654轮  输入 4611 | 输出 197 | 思考 18 | 合计 4808
第655轮  输入 4832 | 输出 49 | 思考 0 | 合计 4881
第656轮  输入 4892 | 输出 232 | 思考 66 | 合计 5124
第657轮  输入 5150 | 输出 51 | 思考 0 | 合计 5201
第658轮  输入 6228 | 输出 224 | 思考 69 | 合计 6452
第659轮  输入 6479 | 输出 52 | 思考 0 | 合计 6531
第660轮  输入 7567 | 输出 155 | 思考 0 | 合计 7722
第661轮  输入 7749 | 输出 52 | 思考 0 | 合计 7801
第662轮  输入 7686 | 输出 161 | 思考 6 | 合计 7847
第663轮  输入 7874 | 输出 52 | 思考 0 | 合计 7926
第664轮  输入 6092 | 输出 252 | 思考 67 | 合计 6344
第665轮  输入 6371 | 输出 52 | 思考 0 | 合计 6423
第666轮  输入 5397 | 输出 95 | 思考 50 | 合计 5492
第667轮  输入 5967 | 输出 1541 | 思考 1428 | 合计 7508
第668轮  输入 7921 | 输出 99 | 思考 38 | 合计 8020
第669轮  输入 7063 | 输出 421 | 思考 347 | 合计 7484
第670轮  输入 7998 | 输出 1029 | 思考 950 | 合计 9027
第671轮  输入 6779 | 输出 547 | 思考 354 | 合计 7326
第672轮  输入 6817 | 输出 159 | 思考 85 | 合计 6976
第673轮  输入 6439 | 输出 1024 | 思考 835 | 合计 7463
第674轮  输入 6153 | 输出 338 | 思考 129 | 合计 6491
第675轮  输入 6827 | 输出 357 | 思考 329 | 合计 7184
第676轮  输入 6382 | 输出 436 | 思考 288 | 合计 6818
第677轮  输入 8144 | 输出 732 | 思考 656 | 合计 8876
第678轮  输入 7611 | 输出 431 | 思考 359 | 合计 8042
第679轮  输入 7277 | 输出 495 | 思考 85 | 合计 7772
第680轮  输入 5496 | 输出 195 | 思考 99 | 合计 5691
第681轮  输入 5741 | 输出 83 | 思考 25 | 合计 5824
第682轮  输入 6711 | 输出 277 | 思考 92 | 合计 6988
第683轮  输入 5548 | 输出 117 | 思考 58 | 合计 5665
第684轮  输入 5198 | 输出 358 | 思考 169 | 合计 5556
第685轮  输入 5260 | 输出 75 | 思考 31 | 合计 5335
第686轮  输入 5368 | 输出 60 | 思考 0 | 合计 5428
第687轮  输入 4886 | 输出 322 | 思考 150 | 合计 5208
第688轮  输入 4794 | 输出 67 | 思考 0 | 合计 4861
第689轮  输入 4936 | 输出 180 | 思考 62 | 合计 5116
第690轮  输入 4978 | 输出 255 | 思考 60 | 合计 5233
第691轮  输入 5258 | 输出 50 | 思考 0 | 合计 5308
第692轮  输入 4968 | 输出 409 | 思考 52 | 合计 5377
第693轮  输入 5403 | 输出 639 | 思考 74 | 合计 6042

总计  输入 3775948 | 输出 185144 | 思考 106143 | 合计 3961092（693轮）

